id,surface_area,compactness,sphericity,volume,diameter,rectangulairty,eccentricity,A3,D1,D2,D3,D4
0,0.656888566136094,2.054621918780647,0.4867075498705223,0.27903140972993995,1.5810261766926297,0.45359062312932985,-0.9999999999999999,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
1,0.5551998060186448,2.0082264488622212,0.4979518124395578,0.15437704206655026,1.3121270492421913,0.5053333755758413,-1.0000020222433033,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
2,0.6214913985268791,1.9995991682388048,0.5001002280275872,0.2536920785129838,1.5318250572724263,0.4702157832348597,-1.00008905456076,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
3,0.7667956789315233,1.9659171641023236,0.5086684313357728,0.501473694175841,2.1628582227778006,0.36371065831017513,-1.0000000000000004,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
4,0.4079745960785404,2.5276444612929256,0.39562526111306257,0.17367073407307113,1.390622475273194,0.4043919206866002,-3.85663457706814,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
5,1.2222632537567732,1.9683493738336844,0.5080398903230962,0.36302161085331713,1.729279064463162,0.5128695654256671,-0.9999632950996028,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
6,1.8535267786197527,1.6746398620802054,0.5971433157919812,0.46855062932472874,1.9378056010186047,0.6208865573832737,-0.9995849378491072,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
7,1.0438713245763156,1.708685660242816,0.5852451526150767,0.25518721057715166,1.5175943805647638,0.42220261051773017,-1.0003313232646085,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
8,1.5344404960337457,1.9639408145129684,0.5091803136888251,0.4124553503930411,1.964168556079131,0.45414695741960753,-0.9999996079973148,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
9,0.6612600937096115,2.310619872179065,0.43278429829175447,0.5534418353517555,2.1085595215021913,0.24477882749551,-0.9070484101310917,[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0],[    0     0     0     0 50000     0     0     0]
